"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-7-27","84.24","82.93","84.50","82.93","110.65K","1.59%"
"2023-7-26","82.92","83.19","83.85","82.58","173.82K","-0.86%"
"2023-7-25","83.64","82.85","83.87","82.22","234.66K","1.09%"
"2023-7-24","82.74","80.95","83.16","80.42","295.10K","2.06%"
"2023-7-21","81.07","79.78","81.24","79.65","294.35K","1.80%"
"2023-7-20","79.64","79.33","80.27","78.66","236.41K","0.23%"
"2023-7-19","79.46","79.84","80.93","79.17","311.44K","-0.21%"
"2023-7-18","79.63","78.52","79.99","78.19","366.47K","1.44%"
"2023-7-17","78.50","79.36","80.64","78.25","341.16K","-1.72%"
"2023-7-14","79.87","81.64","81.70","79.53","311.23K","-1.83%"
"2023-7-13","81.36","80.19","81.75","79.88","416.12K","1.56%"
"2023-7-12","80.11","79.32","80.55","79.21","362.33K","0.89%"
"2023-7-11","79.40","77.82","79.50","77.63","333.84K","2.20%"
"2023-7-10","77.69","78.60","78.77","77.36","288.40K","-0.99%"
"2023-7-7","78.47","76.52","78.54","76.03","331.53K","2.55%"
"2023-7-6","76.52","76.70","77.09","75.03","0.43K","-0.17%"
"2023-7-5","76.65","76.03","76.95","75.30","293.74K","0.52%"
"2023-7-4","76.25","74.89","76.29","74.74","157.96K","2.14%"
"2023-7-3","74.65","75.11","76.60","74.56","328.00K","-0.33%"
"2023-6-30","74.90","74.22","75.40","74.21","14.70K","0.75%"
"2023-6-29","74.34","73.72","74.98","73.39","72.87K","0.42%"
"2023-6-28","74.03","72.62","74.20","71.57","91.45K","2.45%"
"2023-6-27","72.26","74.28","74.90","72.08","161.15K","-2.59%"
"2023-6-26","74.18","74.50","74.85","73.42","150.17K","0.45%"
"2023-6-23","73.85","74.02","74.44","72.11","169.54K","-0.39%"
"2023-6-22","74.14","77.03","77.20","73.59","329.53K","-3.86%"
"2023-6-21","77.12","75.54","77.24","75.52","236.55K","1.61%"
"2023-6-20","75.90","76.12","77.15","74.51","276.38K","-0.25%"
"2023-6-19","76.09","76.40","76.93","75.34","141.42K","-0.68%"
"2023-6-16","76.61","75.64","76.74","75.08","256.25K","1.24%"
"2023-6-15","75.67","73.41","75.97","72.91","260.41K","3.37%"
"2023-6-14","73.20","74.05","75.49","73.03","318.37K","-1.47%"
"2023-6-13","74.29","72.11","74.66","71.94","321.15K","3.41%"
"2023-6-12","71.84","74.87","74.87","71.58","358.50K","-3.94%"
"2023-6-9","74.79","75.53","76.57","74.71","260.20K","-1.54%"
"2023-6-8","75.96","76.80","77.68","73.58","393.89K","-1.29%"
"2023-6-7","76.95","76.22","77.64","75.51","325.63K","0.87%"
"2023-6-6","76.29","76.55","76.75","74.72","304.58K","-0.55%"
"2023-6-5","76.71","77.68","78.73","76.31","384.00K","0.76%"
"2023-6-2","76.13","74.28","76.50","74.18","273.54K","2.49%"
"2023-6-1","74.28","72.15","75.25","72.03","349.92K","2.23%"
"2023-5-31","72.66","73.60","73.81","71.39","20.11K","-1.20%"
"2023-5-30","73.54","76.98","77.57","73.20","112.18K","-4.58%"
"2023-5-29","77.07","77.39","77.75","76.15","31.55K","0.16%"
"2023-5-26","76.95","76.09","77.35","75.73","150.62K","0.90%"
